paper_number,paper_title,bib_citation,source_title,searchit_yes_no,searchit_format
99,"Causes, Effects, and Impacts of the Great Leap Forward in China’s Economy Today","Hu, An’gang. The Political and Economic History of China (1949-1976), Volume 3. Singapore: Enrich Professional Publishing, 2014. ProQuest. https://ntserver1.wsulibs.wsu.edu:2171/lib/wsu/detail.action?docID=3238224&pq-origsite=primo ","The Political and Economic History of China (1949-1976), Volume 3",Yes,Ebook
99,"Causes, Effects, and Impacts of the Great Leap Forward in China’s Economy Today","Jung, Hsiung-Shen, and Jui-Lung Chen. “Causes, Consequences, and Impact of the Great Leap Forward in China.” Asian Culture and History Vol. 11 No. 2 (2019). https://doi.org/10.5539/ach.v11n2p58 ","Causes, Consequences, and Impact of the Great Leap Forward in China",Yes,Article
99,"Causes, Effects, and Impacts of the Great Leap Forward in China’s Economy Today","Xincheng, Liu. “The Global View of History in China.” World History Association 23 (2012): 491-511. JSTOR. https://www.jstor.org/stable/23320185?seq=1",The Global View of History in China,Yes,Article
103,The Perpetually Negative Portrayal of Black Women in America’s Past and Present,"Collins, Patricia Hill. Black Feminist Thought: Knowledge, Consciousness, and the Politics of Empowerment. New York: Routledge, 2009.","Black Feminist Thought: Knowledge, Consciousness, and the Politics of Empowerment",Yes,Print Book
103,The Perpetually Negative Portrayal of Black Women in America’s Past and Present,"Harris-Perry, Melissa V. Sister Citizen Shame, Stereotypes, and Black Women in America. New Haven: Yale University Press, 2014.","Sister Citizen Shame, Stereotypes, and Black Women in America",Yes,Print Book
103,The Perpetually Negative Portrayal of Black Women in America’s Past and Present,"King, Wilma. “‘Prematurely Knowing Of Evil Things’: The Sexual Abuse Of African American Girls And Young Women In Slavery And Freedom.” The Journal of African American History 99, no. 3 (2014): 173-96. https://doi.org/10.5323/jafriamerhist.99.3.0173.",Prematurely Knowing Of Evil Things’: The Sexual Abuse Of African American Girls And Young Women In Slavery And Freedom,Yes,Article
103,The Perpetually Negative Portrayal of Black Women in America’s Past and Present,"Prather, Cynthia, Taleria R. Fuller, William L. Jeffries, Khiya J. Marshall, A. Vyann Howell, Angela Belyue-Umole, and Winifred King. “Racism, African American Women, and Their Sexual and Reproductive Health: A Review of Historical and Contemporary Evidence and Implications for Health Equity.” Health Equity 2, no. 1 (September 22, 2018): 249–59. https://doi.org/10.1089/heq.2017.0045.","Racism, African American Women, and Their Sexual and Reproductive Health: A Review of Historical and Contemporary Evidence and Implications for Health Equity",Yes,Article
103,The Perpetually Negative Portrayal of Black Women in America’s Past and Present,Ain't I a woman: Black women and feminism. London: Routledge.,Black women and feminism,Yes,Print Book
105,Sexual Revolution: The History of Contraceptive Use in Britain and the United States,"Cook, Hera. The Long Sexual Revolution: English Women, Sex, and Contraception, 1800-1975. Oxford: Oxford University Press, Incorporated. Accessed December 16, 2020. ProQuest Ebook Central. 2004.","The Long Sexual Revolution: English Women, Sex, and Contraception, 1800-1975",Yes,Ebook
105,Sexual Revolution: The History of Contraceptive Use in Britain and the United States,"Geiringer, David. Catholic Understandings of Female Sexuality in 1960s Britain. 20th Century British History 28, no. 2 (2017): 209–38. https://doi.org/10.1093/tcbh/hww051.",Catholic Understandings of Female Sexuality in 1960s Britain,Yes,Article
105,Sexual Revolution: The History of Contraceptive Use in Britain and the United States,"May, Elaine Tyler. America and the Pill: A history of Promise, Peril, and Liberation. New York: Basic Books, 2010.","America and the Pill: A history of Promise, Peril, and Liberation",Yes,Print Book
105,Sexual Revolution: The History of Contraceptive Use in Britain and the United States,"Mundt, Ingrid. Margaret Sanger, Taking a Stand for Birth Control. The History Teacher (Long Beach, Calif.) 51, no. 1 (2017): 123–61.",Taking a Stand for Birth Control,Yes,Article
107,The Doomed Crown: The People of France vs Marie Antoinette,"BYRNE, ANNE. ""The Lit De Justice of November 1774."" In Death and the Crown: Ritual and Politics in France before the Revolution, 88-125. Manchester: Manchester University Press, 2020. Accessed December 10, 2020. doi:10.2307/j.ctvv417wg.9.","The Lit De Justice of November 1774."" In Death and the Crown: Ritual and Politics in France before the Revolution, 88-125",Yes,Print Book
107,The Doomed Crown: The People of France vs Marie Antoinette,"Popkin, Jeremy. ""Pamphlet Journalism at the End of the Old Regime."" Eighteenth-Century Studies 22, no. 3 (1989): 351-67. Accessed December 14, 2020. doi:10.2307/2738892.",Pamphlet Journalism at the End of the Old Regime,Yes,Article
107,The Doomed Crown: The People of France vs Marie Antoinette,"Gruder, V. R. “The Question of Marie-Antoinette: The Queen and Public Opinion before the Revolution.” French History 16, no. 3 (2002): 269–98. https://doi.org/10.1093/fh/16.3.269.",The Question of Marie-Antoinette: The Queen and Public Opinion before the Revolution,Yes,Article
107,The Doomed Crown: The People of France vs Marie Antoinette,"Cole, John R., Gouges, Olympe de, and Canadian Electronic Library. Between the Queen and the Cabby Olympe de Gouges's Rights of Woman. Montréal [Que.]: McGill-Queen's University Press, 2011.",Between the Queen and the Cabby Olympe de Gouges's Rights of Woman,Yes,Print Book
109,The Issues regarding Human and Children Sex Trafficking in the United States,"Peters, Alicia W. Responding to Human Trafficking. Responding to Human Trafficking Philadelphia: University of Pennsylvania Press, Inc, 2015. https://searchit.libraries.wsu.edu/permalink/f/1jnr272/TN_cdi_askewsholts_vlebooks_97808122 91612",Responding to Human Trafficking. Responding to Human Trafficking,Yes,Ebook
109,The Issues regarding Human and Children Sex Trafficking in the United States,"Todres, Jonathan. “A Human Rights Approach to Preventing Child Sex Trafficking.” In Child Slavery Now, 133. Policy Press, 2010. https://searchit.libraries.wsu.edu/permalink/f/1jnr272/TN_cdi_jstor_books_j_ctt9qgxmk_14",A Human Rights Approach to Preventing Child Sex Trafficking,Yes,Ebook Chapter
109,The Issues regarding Human and Children Sex Trafficking in the United States,"Barberán Reinares, Laura. Sex Trafficking in Postcolonial Literature : Transnational Narratives from Joyce to Bolaño. New York: Routledge, 2014. https://searchit.libraries.wsu.edu/permalink/f/1j6uprt/CP51250705410001451",Sex Trafficking in Postcolonial Literature : Transnational Narratives from Joyce to Bolaño,Yes,Ebook
109,The Issues regarding Human and Children Sex Trafficking in the United States,"Bonilla, Tabitha, and Mo, Cecilia Hyunjung. “The Evolution of Human Trafficking Messaging in the United States and Its Effect on Public Opinion.” Journal of Public Policy 39, no. 2 (2019): 201–34.https://searchit.libraries.wsu.edu/permalink/f/1jnr272/TN_cdi_crossref_primary_10_1017_S014 3814X18000107",The Evolution of Human Trafficking Messaging in the United States and Its Effect on Public Opinion,Yes,Article
109,The Issues regarding Human and Children Sex Trafficking in the United States,"Efrat, Asif. “Global Efforts Against Human Trafficking: The Misguided Conflation of Sex, Labor, and Organ Trafficking.” International Studies Perspectives, 2015, n/a. https://searchit.libraries.wsu.edu/permalink/f/1jnr272/TN_cdi_crossref_primary_10_1111_insp_ 12097","Global Efforts Against Human Trafficking: The Misguided Conflation of Sex, Labor, and Organ Trafficking",Yes,Article
109,The Issues regarding Human and Children Sex Trafficking in the United States,"Papanicolaou, Georgios. “The Sex Industry, Human Trafficking and the Global Prohibition Regime: a Cautionary Tale from Greece.” Trends in Organized Crime 11, no. 4 (2008): 379–409. https://searchit.libraries.wsu.edu/permalink/f/1jnr272/TN_cdi_proquest_journals_193903134.","The Sex Industry, Human Trafficking and the Global Prohibition Regime: a Cautionary Tale from Greece",Yes,Article
109,The Issues regarding Human and Children Sex Trafficking in the United States,"Oastler, Richard. A Letter on the Horrors of White Slavery. Leeds: Sold by J. Smithson, 1830. https://searchit.libraries.wsu.edu/permalink/f/1j6uprt/CP71200995570001451.",A Letter on the Horrors of White Slavery,Yes,Ebook
